A,B,C,D,E,F,G
16,16,1000000,200,24000,6,16
2000,2000,1000000,8,24000,6,4000
2000,2000,16000,8,24000,6,16
16,2000,16000,8,96000,2,4000
2000,16,16000,8,96000,2,4000
16,16,16000,200,96000,6,16
2000,2000,16000,8,24000,2,4000
16,2000,16000,200,96000,2,16
16,16,1000000,200,24000,2,4000
2000,2000,16000,200,24000,6,4000
16,2000,1000000,8,96000,6,4000
2000,2000,1000000,8,24000,2,16
16,16,16000,200,24000,6,4000
16,2000,1000000,8,24000,2,4000
16,16,16000,200,24000,2,16
16,16,16000,8,96000,2,16
2000,16,1000000,200,96000,6,16
16,16,1000000,200,24000,2,4000
16,2000,1000000,200,96000,2,4000
2000,2000,16000,200,96000,6,16
16,16,16000,8,96000,6,4000
2000,2000,16000,8,96000,6,4000
16,16,16000,8,24000,2,4000
2000,2000,1000000,200,96000,6,4000
16,16,16000,8,24000,6,16
2000,2000,16000,200,96000,2,4000
2000,16,16000,8,24000,2,16
16,16,1000000,200,96000,6,4000
2000,2000,1000000,8,24000,2,16
2000,2000,1000000,200,24000,2,4000
16,2000,16000,8,24000,2,16
16,16,1000000,8,24000,6,4000
16,2000,1000000,200,96000,6,16
2000,2000,16000,200,24000,2,16
16,16,16000,200,96000,6,16
2000,16,1000000,200,96000,2,4000
2000,16,16000,200,96000,6,4000
2000,2000,1000000,200,24000,6,16
2000,16,1000000,8,24000,2,4000
2000,16,16000,8,96000,6,16
2000,16,16000,200,24000,2,4000
16,2000,1000000,8,24000,2,4000
16,16,16000,200,24000,2,16
16,16,16000,200,96000,2,4000
16,2000,16000,200,96000,6,4000
2000,16,16000,8,96000,2,4000
2000,16,1000000,8,96000,6,4000
16,2000,1000000,8,96000,6,4000
16,2000,1000000,200,24000,2,16
16,16,1000000,200,96000,2,16
2000,2000,16000,8,24000,6,16
2000,2000,16000,8,96000,2,16
2000,2000,16000,200,24000,6,4000
2000,2000,1000000,8,24000,6,4000
2000,16,1000000,8,96000,2,16
2000,2000,1000000,8,96000,2,4000
16,16,1000000,200,24000,6,16
16,16,16000,200,24000,6,4000
16,2000,16000,200,24000,2,4000
2000,16,16000,200,24000,6,16
16,2000,1000000,200,24000,6,4000
16,16,1000000,8,24000,2,16
16,16,1000000,8,96000,2,4000
16,2000,16000,200,24000,6,16
2000,16,16000,8,24000,6,4000
16,16,1000000,8,96000,6,16
2000,2000,1000000,200,96000,2,16
16,2000,16000,200,96000,2,16
16,2000,1000000,8,96000,2,16
2000,2000,1000000,8,96000,6,16
2000,16,1000000,200,24000,2,16
2000,16,1000000,8,24000,6,16
16,2000,16000,8,96000,2,4000
16,2000,16000,8,96000,6,16
2000,16,1000000,200,24000,6,4000
2000,2000,16000,8,24000,2,4000
16,2000,16000,8,24000,6,4000
16,2000,1000000,8,24000,6,16
2000,16,16000,200,96000,2,16
16,16,16000,8,96000,6,4000
16,2000,16000,200,96000,2,16
2000,16,1000000,200,96000,2,4000
16,16,1000000,8,24000,2,16
2000,16,1000000,8,96000,2,16
2000,2000,16000,8,96000,2,16
2000,16,16000,8,96000,6,16
16,16,16000,200,24000,6,4000
16,2000,16000,200,24000,2,4000
2000,2000,16000,200,96000,2,4000
2000,16,1000000,8,24000,6,16
2000,16,16000,200,24000,6,16
16,16,16000,200,24000,2,16
16,2000,1000000,8,96000,2,16
2000,16,16000,200,96000,2,16
16,16,16000,200,96000,6,16
2000,2000,1000000,8,96000,6,16
16,2000,16000,8,96000,2,4000
16,2000,1000000,8,96000,6,4000
16,16,1000000,8,96000,2,4000
2000,2000,16000,8,24000,6,16
16,16,1000000,8,96000,6,16
2000,2000,16000,200,96000,6,16
16,16,16000,200,96000,2,4000
2000,16,1000000,200,96000,6,16
16,16,1000000,200,24000,6,16
16,2000,1000000,8,24000,6,16
2000,16,1000000,8,24000,2,4000
2000,16,16000,200,24000,2,4000
2000,2000,1000000,8,96000,2,4000
16,2000,1000000,8,24000,2,4000
2000,16,1000000,200,24000,2,16
2000,2000,16000,200,24000,2,16
2000,16,1000000,8,96000,6,4000
16,2000,1000000,200,24000,6,4000
2000,2000,16000,200,24000,6,4000
2000,2000,1000000,200,96000,6,4000
2000,16,1000000,200,24000,6,4000
16,16,1000000,200,96000,6,4000
2000,16,16000,8,24000,2,16
16,2000,16000,8,24000,2,16
16,2000,1000000,200,96000,6,16
16,16,16000,8,24000,6,16
2000,2000,1000000,200,24000,2,4000
2000,2000,16000,8,24000,2,4000
16,16,1000000,8,24000,6,4000
2000,2000,1000000,200,24000,6,16
16,16,16000,8,24000,2,4000
2000,16,16000,8,96000,2,4000
16,2000,16000,200,24000,6,16
2000,2000,1000000,200,96000,2,16
16,16,16000,8,96000,2,16
16,2000,16000,200,96000,6,4000
2000,2000,1000000,8,24000,6,4000
16,2000,1000000,200,96000,2,4000
2000,16,16000,8,24000,6,4000
16,2000,1000000,200,24000,2,16
2000,16,16000,200,96000,6,4000
16,2000,16000,8,96000,6,16
2000,2000,16000,8,96000,6,4000
16,16,1000000,200,96000,2,16
2000,2000,1000000,8,24000,2,16
16,2000,16000,8,24000,6,4000
16,16,1000000,200,24000,2,4000
2000,2000,16000,200,96000,2,4000
16,2000,16000,8,24000,2,16
16,16,16000,8,24000,6,16
16,2000,1000000,200,24000,6,4000
16,16,1000000,200,96000,2,16
2000,2000,16000,8,96000,2,16
16,2000,16000,200,24000,6,16
16,16,16000,200,24000,2,16
2000,16,1000000,8,96000,6,4000
2000,16,16000,200,24000,2,4000
16,2000,1000000,8,24000,2,4000
16,2000,16000,8,96000,6,16
2000,2000,1000000,200,96000,6,4000
2000,16,16000,8,96000,2,4000
16,16,16000,200,96000,2,4000
2000,2000,16000,200,24000,6,4000
16,2000,1000000,8,96000,6,4000
16,16,16000,200,96000,6,16
16,2000,16000,8,96000,2,4000
16,2000,1000000,200,24000,2,16
16,2000,1000000,200,96000,6,16
2000,16,1000000,8,96000,2,16
16,2000,16000,200,96000,6,4000
2000,16,16000,8,24000,6,4000
16,2000,1000000,8,96000,2,16
16,16,16000,8,96000,2,16
16,16,1000000,8,96000,6,16
2000,16,1000000,200,24000,6,4000
16,2000,1000000,8,24000,6,16
2000,16,1000000,200,96000,2,4000
2000,2000,1000000,200,24000,6,16
16,16,16000,200,24000,6,4000
2000,2000,1000000,200,24000,2,4000
2000,16,16000,8,24000,2,16
2000,16,16000,200,96000,2,16
2000,2000,16000,8,24000,2,4000
2000,16,16000,8,96000,6,16
16,2000,16000,8,24000,6,4000
2000,2000,1000000,8,96000,6,16
16,16,16000,8,24000,2,4000
2000,16,1000000,200,24000,2,16
2000,16,16000,200,24000,6,16
2000,16,16000,200,96000,6,4000
16,16,1000000,8,24000,6,4000
2000,2000,16000,200,24000,2,16
16,16,1000000,8,96000,2,4000
2000,16,1000000,8,24000,2,4000
2000,2000,1000000,8,24000,6,4000
16,16,1000000,200,96000,6,4000
2000,2000,1000000,8,96000,2,4000
2000,16,1000000,200,96000,6,16
16,2000,16000,200,96000,2,16
16,16,16000,8,96000,6,4000
2000,2000,1000000,200,96000,2,16
16,2000,1000000,200,96000,2,4000
2000,16,1000000,8,24000,6,16
2000,2000,16000,8,96000,6,4000
2000,2000,16000,8,24000,6,16
16,2000,16000,200,24000,2,4000
16,16,1000000,8,24000,2,16
16,16,1000000,200,24000,6,16
2000,2000,16000,200,96000,6,16
2000,2000,1000000,8,24000,2,16
16,16,1000000,200,24000,2,4000
16,16,16000,200,24000,6,4000
2000,16,16000,200,24000,2,4000
16,16,16000,8,96000,6,4000
2000,2000,16000,200,24000,2,16
2000,16,1000000,8,96000,2,16
16,16,16000,8,24000,2,4000
16,2000,16000,200,24000,6,16
16,16,16000,200,96000,6,16
2000,2000,16000,8,24000,2,4000
16,2000,16000,8,24000,2,16
16,16,1000000,8,96000,6,16
2000,16,1000000,8,24000,6,16
16,16,1000000,8,24000,2,16
2000,16,16000,200,24000,6,16
2000,2000,16000,8,96000,2,16
2000,16,16000,8,24000,6,4000
16,2000,1000000,8,96000,2,16
2000,2000,16000,8,24000,6,16
2000,16,16000,8,96000,6,16
16,16,16000,200,24000,2,16
16,2000,16000,200,96000,2,16
16,2000,1000000,8,96000,6,4000
16,2000,1000000,200,96000,2,4000
2000,16,16000,8,96000,2,4000
16,2000,1000000,200,96000,6,16
16,16,16000,8,24000,6,16
2000,16,1000000,200,24000,6,4000
16,16,1000000,8,24000,6,4000
2000,16,1000000,8,24000,2,4000
16,16,1000000,200,96000,2,16
2000,2000,1000000,8,96000,6,16
2000,2000,16000,200,24000,6,4000
16,16,1000000,200,24000,6,16
2000,2000,1000000,8,24000,2,16
2000,2000,1000000,200,24000,6,16
2000,2000,1000000,200,24000,2,4000
2000,16,16000,200,96000,2,16
16,16,1000000,200,96000,6,4000
2000,2000,1000000,8,24000,6,4000
2000,16,1000000,200,24000,2,16
2000,16,1000000,200,96000,2,4000
16,2000,16000,200,24000,2,4000
2000,2000,16000,200,96000,6,16
2000,16,16000,8,24000,2,16
16,2000,16000,8,24000,6,4000
16,16,16000,200,96000,2,4000
16,2000,1000000,200,24000,2,16
16,16,16000,8,96000,2,16
16,2000,1000000,200,24000,6,4000
16,2000,1000000,8,24000,2,4000
16,16,1000000,200,24000,2,4000
2000,16,16000,200,96000,6,4000
2000,2000,16000,200,96000,2,4000
2000,16,1000000,8,96000,6,4000
16,2000,16000,200,96000,6,4000
16,2000,1000000,8,24000,6,16
2000,2000,1000000,200,96000,6,4000
2000,16,1000000,200,96000,6,16
2000,2000,1000000,8,96000,2,4000
16,16,1000000,8,96000,2,4000
16,2000,16000,8,96000,6,16
16,2000,16000,8,96000,2,4000
2000,2000,16000,8,96000,6,4000
2000,2000,1000000,200,96000,2,16
16,16,16000,200,96000,2,4000
16,2000,1000000,200,96000,6,16
2000,2000,1000000,8,96000,2,4000
2000,2000,1000000,200,24000,2,4000
2000,2000,16000,200,24000,6,4000
16,16,1000000,200,96000,6,4000
16,2000,16000,8,96000,6,16
16,2000,16000,8,24000,2,16
2000,2000,1000000,8,96000,6,16
2000,2000,1000000,200,96000,2,16
16,16,1000000,8,96000,2,4000
16,2000,1000000,8,24000,6,16
16,16,16000,200,96000,6,16
2000,16,16000,200,24000,2,4000
2000,16,1000000,8,96000,6,4000
2000,16,16000,200,24000,6,16
16,2000,1000000,8,24000,2,4000
16,2000,16000,8,96000,2,4000
16,16,1000000,200,96000,2,16
16,16,1000000,200,24000,6,16
16,16,16000,8,96000,6,4000
2000,16,1000000,200,96000,6,16
2000,16,1000000,200,24000,6,4000
2000,16,1000000,200,96000,2,4000
16,2000,16000,8,24000,6,4000
2000,16,16000,8,24000,6,4000
2000,16,16000,8,96000,6,16
2000,16,16000,200,96000,2,16
16,16,16000,8,24000,6,16
2000,16,1000000,8,24000,2,4000
16,2000,1000000,8,96000,2,16
2000,16,16000,8,96000,2,4000
16,2000,1000000,200,24000,2,16
2000,16,1000000,8,24000,6,16
16,16,16000,8,24000,2,4000
16,2000,16000,200,24000,2,4000
2000,2000,1000000,8,24000,2,16
16,16,1000000,200,24000,2,4000
2000,16,1000000,200,24000,2,16
2000,16,16000,8,24000,2,16
2000,2000,1000000,8,24000,6,4000
16,2000,16000,200,96000,2,16
2000,2000,16000,8,96000,6,4000
16,16,1000000,8,96000,6,16
16,2000,16000,200,96000,6,4000
16,2000,1000000,200,24000,6,4000
2000,2000,16000,8,96000,2,16
16,2000,1000000,200,96000,2,4000
16,16,16000,8,96000,2,16
2000,2000,16000,200,96000,2,4000
16,16,16000,200,24000,2,16
2000,2000,16000,8,24000,6,16
2000,2000,1000000,200,24000,6,16
16,2000,16000,200,24000,6,16
2000,2000,16000,200,96000,6,16
16,2000,1000000,8,96000,6,4000
2000,2000,1000000,200,96000,6,4000
2000,2000,16000,200,24000,2,16
16,16,1000000,8,24000,2,16
16,16,16000,200,24000,6,4000
16,16,1000000,8,24000,6,4000
2000,16,1000000,8,96000,2,16
2000,2000,16000,8,24000,2,4000
2000,16,16000,200,96000,6,4000
16,2000,16000,200,24000,2,4000
16,2000,16000,200,96000,2,16
16,2000,1000000,8,96000,2,16
16,16,16000,8,24000,6,16
2000,16,1000000,8,96000,2,16
16,2000,1000000,200,24000,2,16
2000,2000,16000,8,24000,2,4000
16,2000,1000000,8,24000,6,16
16,2000,16000,200,24000,6,16
2000,16,16000,200,24000,2,4000
2000,2000,1000000,8,24000,2,16
16,2000,1000000,200,96000,2,4000
2000,2000,16000,200,96000,2,4000
16,2000,16000,8,24000,6,4000
16,16,1000000,200,24000,6,16
2000,2000,16000,8,96000,2,16
2000,2000,1000000,200,24000,6,16
2000,16,1000000,8,96000,6,4000
2000,2000,1000000,200,96000,2,16
16,2000,16000,8,24000,2,16
16,16,16000,200,24000,6,4000
2000,2000,1000000,200,96000,6,4000
16,16,1000000,200,24000,2,4000
16,16,16000,200,96000,6,16
2000,16,16000,8,96000,2,4000
2000,2000,16000,200,24000,6,4000
16,16,1000000,8,96000,2,4000
16,16,1000000,8,24000,2,16
16,16,1000000,8,96000,6,16
16,16,16000,8,96000,6,4000
2000,2000,1000000,8,24000,6,4000
2000,16,16000,8,96000,6,16
2000,2000,1000000,200,24000,2,4000
16,2000,1000000,200,24000,6,4000
16,2000,16000,8,96000,2,4000
2000,16,16000,8,24000,6,4000
16,2000,1000000,8,96000,6,4000
16,2000,16000,200,96000,6,4000
2000,2000,16000,200,24000,2,16
16,16,1000000,200,96000,6,4000
16,2000,16000,8,96000,6,16
2000,16,1000000,200,24000,6,4000
2000,2000,16000,200,96000,6,16
2000,2000,16000,8,96000,6,4000
2000,16,16000,8,24000,2,16
2000,2000,16000,8,24000,6,16
16,16,16000,8,24000,2,4000
2000,16,16000,200,24000,6,16
16,2000,1000000,8,24000,2,4000
2000,2000,1000000,8,96000,6,16
16,2000,1000000,200,96000,6,16
16,16,16000,8,96000,2,16
16,16,1000000,8,24000,6,4000
2000,2000,1000000,8,96000,2,4000
2000,16,16000,200,96000,2,16
2000,16,1000000,8,24000,6,16
2000,16,1000000,200,96000,2,4000
2000,16,1000000,200,24000,2,16
16,16,1000000,200,96000,2,16
2000,16,16000,200,96000,6,4000
2000,16,1000000,200,96000,6,16
16,16,16000,200,96000,2,4000
16,16,16000,200,24000,2,16
2000,16,1000000,8,24000,2,4000
2000,16,16000,8,96000,6,16
16,2000,1000000,8,24000,6,16
16,16,1000000,200,24000,6,16
2000,16,16000,8,24000,6,4000
2000,2000,16000,200,24000,2,16
2000,16,1000000,200,96000,2,4000
16,2000,16000,8,24000,6,4000
2000,2000,16000,8,96000,2,16
2000,16,16000,200,96000,2,16
16,16,16000,200,96000,2,4000
2000,2000,1000000,8,24000,2,16
16,16,16000,200,96000,6,16
2000,2000,16000,200,96000,2,4000
2000,16,1000000,200,24000,6,4000
16,16,16000,8,24000,6,16
16,2000,16000,8,96000,6,16
16,16,1000000,8,96000,2,4000
16,16,1000000,200,96000,6,4000
16,16,1000000,8,24000,2,16
2000,16,16000,200,24000,6,16
2000,2000,16000,200,96000,6,16
16,2000,16000,8,24000,2,16
2000,16,16000,8,96000,2,4000
16,16,16000,8,24000,2,4000
2000,16,1000000,8,96000,6,4000
16,2000,16000,200,96000,6,4000
16,16,1000000,8,96000,6,16
16,2000,1000000,200,24000,6,4000
2000,2000,1000000,200,24000,6,16
16,2000,16000,8,96000,2,4000
2000,16,1000000,200,96000,6,16
2000,2000,1000000,8,96000,2,4000
2000,16,16000,200,24000,2,4000
16,16,1000000,200,96000,2,16
2000,16,16000,8,24000,2,16
2000,16,1000000,8,96000,2,16
2000,2000,16000,8,24000,2,4000
16,2000,1000000,8,96000,2,16
16,16,16000,8,96000,2,16
2000,2000,16000,200,24000,6,4000
16,2000,16000,200,96000,2,16
2000,16,1000000,8,24000,6,16
2000,16,16000,200,96000,6,4000
16,2000,1000000,8,24000,2,4000
16,16,16000,200,24000,2,16
16,2000,1000000,200,96000,2,4000
16,2000,16000,200,24000,2,4000
16,16,1000000,8,24000,6,4000
16,2000,1000000,200,24000,2,16
16,2000,1000000,8,96000,6,4000
16,16,16000,200,24000,6,4000
16,2000,1000000,200,96000,6,16
2000,2000,16000,8,96000,6,4000
2000,2000,16000,8,24000,6,16
2000,16,1000000,200,24000,2,16
2000,2000,1000000,200,24000,2,4000
16,16,16000,8,96000,6,4000
16,2000,16000,200,24000,6,16
2000,2000,1000000,200,96000,2,16
2000,2000,1000000,200,96000,6,4000
2000,16,1000000,8,24000,2,4000
2000,2000,1000000,8,24000,6,4000
16,16,1000000,200,24000,2,4000
2000,2000,1000000,8,96000,6,16
16,16,1000000,200,96000,2,16
2000,16,16000,200,96000,2,16
16,16,16000,200,96000,6,16
16,16,1000000,8,96000,2,4000
2000,2000,1000000,8,24000,6,4000
16,2000,16000,8,24000,6,4000
2000,16,16000,200,96000,6,4000
16,16,1000000,200,24000,2,4000
2000,16,16000,8,24000,6,4000
16,2000,1000000,8,96000,6,4000
2000,2000,16000,8,24000,6,16
16,16,16000,200,24000,6,4000
16,2000,16000,200,24000,6,16
2000,2000,16000,200,96000,2,4000
2000,16,16000,200,24000,2,4000
2000,2000,1000000,200,96000,2,16
2000,16,1000000,200,24000,6,4000
16,2000,16000,200,96000,2,16
16,16,16000,8,24000,6,16
16,16,16000,8,24000,2,4000
2000,16,1000000,200,24000,2,16
16,16,16000,8,96000,6,4000
16,2000,16000,8,96000,6,16
2000,2000,16000,8,96000,6,4000
2000,16,1000000,200,96000,2,4000
16,16,1000000,8,24000,6,4000
2000,2000,1000000,8,96000,6,16
16,2000,16000,200,96000,6,4000
2000,2000,1000000,8,96000,2,4000
2000,16,1000000,8,24000,6,16
2000,16,1000000,8,96000,6,4000
2000,16,16000,200,24000,6,16
2000,2000,1000000,200,24000,2,4000
2000,16,16000,8,96000,2,4000
2000,2000,16000,200,96000,6,16
2000,16,1000000,8,96000,2,16
16,2000,1000000,200,96000,6,16
16,16,16000,8,96000,2,16
2000,2000,16000,8,96000,2,16
2000,2000,1000000,8,24000,2,16
16,16,16000,200,96000,2,4000
16,2000,16000,8,96000,2,4000
16,2000,1000000,200,24000,2,16
2000,16,1000000,8,24000,2,4000
16,2000,16000,8,24000,2,16
16,16,1000000,200,24000,6,16
2000,2000,1000000,200,96000,6,4000
2000,2000,16000,8,24000,2,4000
2000,2000,16000,200,24000,2,16
16,16,16000,200,24000,2,16
16,2000,1000000,8,96000,2,16
16,2000,16000,200,24000,2,4000
16,16,1000000,200,96000,6,4000
16,2000,1000000,200,24000,6,4000
16,2000,1000000,200,96000,2,4000
16,2000,1000000,8,24000,6,16
16,16,1000000,8,96000,6,16
2000,16,1000000,200,96000,6,16
2000,16,16000,8,96000,6,16
2000,2000,16000,200,24000,6,4000
2000,2000,1000000,200,24000,6,16
16,2000,1000000,8,24000,2,4000
16,16,1000000,8,24000,2,16
2000,16,16000,8,24000,2,16
16,2000,16000,200,24000,6,16
16,2000,16000,8,96000,2,4000
16,16,16000,8,24000,6,16
2000,2000,1000000,200,96000,6,4000
16,16,16000,8,96000,6,4000
2000,2000,16000,200,96000,6,16
2000,2000,1000000,8,24000,6,4000
16,2000,16000,200,24000,2,4000
2000,16,16000,8,96000,6,16
2000,16,1000000,200,96000,6,16
2000,16,1000000,8,24000,6,16
2000,16,16000,8,24000,6,4000
2000,16,1000000,200,24000,6,4000
16,16,1000000,8,24000,6,4000
16,16,16000,8,24000,2,4000
2000,16,1000000,200,96000,2,4000
2000,16,16000,8,96000,2,4000
2000,2000,16000,8,24000,2,4000
16,2000,1000000,200,24000,2,16
16,2000,1000000,8,24000,2,4000
2000,16,1000000,200,24000,2,16
2000,16,16000,200,24000,2,4000
16,2000,16000,8,24000,6,4000
16,16,1000000,200,24000,6,16
16,16,1000000,8,24000,2,16
2000,2000,1000000,8,96000,2,4000
2000,16,1000000,8,96000,6,4000
2000,16,16000,200,96000,6,4000
16,16,1000000,8,96000,2,4000
2000,16,16000,200,24000,6,16
16,2000,16000,8,24000,2,16
16,16,16000,200,24000,2,16
2000,2000,1000000,200,96000,2,16
16,2000,1000000,200,96000,2,4000
16,16,1000000,200,24000,2,4000
16,2000,16000,200,96000,2,16
16,16,1000000,200,96000,2,16
16,16,16000,200,24000,6,4000
16,16,1000000,200,96000,6,4000
16,16,16000,8,96000,2,16
2000,16,16000,8,24000,2,16
2000,2000,16000,8,96000,2,16
16,16,16000,200,96000,2,4000
2000,2000,16000,200,24000,2,16
2000,16,1000000,8,24000,2,4000
16,2000,1000000,200,96000,6,16
2000,16,16000,200,96000,2,16
2000,2000,1000000,200,24000,2,4000
2000,2000,1000000,8,96000,6,16
2000,2000,1000000,200,24000,6,16
2000,2000,16000,200,96000,2,4000
16,2000,1000000,8,96000,6,4000
2000,2000,1000000,8,24000,2,16
16,2000,1000000,8,24000,6,16
16,2000,1000000,200,24000,6,4000
2000,2000,16000,8,96000,6,4000
2000,2000,16000,8,24000,6,16
2000,2000,16000,200,24000,6,4000
16,2000,1000000,8,96000,2,16
2000,16,1000000,8,96000,2,16
16,16,16000,200,96000,6,16
16,2000,16000,8,96000,6,16
16,16,1000000,8,96000,6,16
16,2000,16000,200,96000,6,4000
